pipeline_name,category,risk_band,risk_score,total_log_rows,error_rows,error_rate_pct,start_rows,end_rows,start_end_imbalance,incremental_rows,inner_activity_rows
plSilverToGoldChild,gold_transform_orchestration,critical,1614.06,418710,1059,0.253,209381,208270,1111,1756,397918
plBronzeToSilver,silver_transform_orchestration,critical,1015.81,685150,620,0.09,342609,341921,688,64,653797
plSourceToBronzeSecureFileSystemClueAll,bronze_ingestion_or_processing,critical,1009.0,12,6,50.0,6,0,6,0,0
plMdwToPbiParentWebAppRLSTables,serving_or_application_integration,critical,778.7,158,55,34.81,79,24,55,0,148
plMdwToPbiChildWebAppRLSTables,serving_or_application_integration,critical,709.89,144,46,31.944,74,24,50,0,0
plSilverToGoldParent,gold_transform_orchestration,critical,588.84,26295,228,0.867,13327,12740,587,0,20239
plSourceToBronzeAsqlInEight,bronze_ingestion_or_processing,high,387.57,203838,211,0.104,101938,101689,249,0,201589
plSourceToBronzeSql,bronze_ingestion_or_processing,high,377.49,99181,198,0.2,49617,49366,251,0,91899
plSourceToBronzeSqlCosential,bronze_ingestion_or_processing,high,369.14,102099,186,0.182,51086,50827,259,0,99970
plSourceToBronzeSqlE1,bronze_ingestion_or_processing,high,319.53,76906,155,0.202,38486,38265,221,0,72874
plSourceToBronzeRestApiCosetial,bronze_ingestion_or_processing,high,282.48,11276,107,0.949,5691,5478,213,0,9090
plSourceToBronzeAsqlQdr,bronze_ingestion_or_processing,high,265.12,49783,140,0.281,24891,24752,139,0,48006
plSourceToBronzeSqlDEstimator,bronze_ingestion_or_processing,high,204.67,19304,74,0.383,9688,9542,146,0,17540
plSourceToBronzeAsql,bronze_ingestion_or_processing,medium,184.38,21323,84,0.394,10662,10577,85,0,19535
plSourceToBronzeRestApiPbi,bronze_ingestion_or_processing,medium,142.23,6207,69,1.112,3120,3018,102,0,4379
plSourceToBronzeSharepoint,bronze_ingestion_or_processing,medium,138.49,18360,55,0.3,9180,9125,55,0,16171
plSourceToGold,gold_transform_orchestration,medium,114.78,1791,41,2.289,903,847,56,0,0
plSourceToGoldIneight,gold_transform_orchestration,medium,91.65,437,15,3.432,219,203,16,0,0
plSourceToBronzeSoapApiB2G,bronze_ingestion_or_processing,medium,59.25,2880,27,0.938,1440,1413,27,0,2088
plSourceToBronzeRestApiScheduleValidator,bronze_ingestion_or_processing,medium,50.18,1084,15,1.384,542,527,15,0,296
plSourceToBronzeRestApiTeamBinder,bronze_ingestion_or_processing,low,45.05,4325,12,0.277,2184,2129,55,0,3527
plSourceToBronzeFileSystemHeavyJob,bronze_ingestion_or_processing,low,44.25,5027,22,0.438,2516,2489,27,0,3350
plBronzeToSilverFullLoad,silver_transform_orchestration,low,41.21,168,3,1.786,85,80,5,2,163
plSourceToBronzeAsqlSdatWebApp,bronze_ingestion_or_processing,low,40.47,5272,21,0.398,2637,2614,23,0,3493
plSourceToBronzeCslbLisence,bronze_ingestion_or_processing,low,39.02,1554,14,0.901,777,763,14,0,776
plSourceToBronzeRestApiAAD,bronze_ingestion_or_processing,low,25.8,3528,12,0.34,1765,1751,14,0,1750
plSourceToSilverSharepoint,silver_transform_orchestration,low,23.89,1732,9,0.52,866,857,9,0,0
plSourceToBronzeRestApiVairkko,bronze_ingestion_or_processing,low,23.29,676,5,0.74,339,332,7,0,452
plSourceToSilverSql,silver_transform_orchestration,low,20.98,1785,4,0.224,903,878,25,0,0
plSourceToGoldIneightDocument,gold_transform_orchestration,low,18.79,435,3,0.69,218,214,4,0,0
plSourceToBronzeSqlIneightDocument,bronze_ingestion_or_processing,low,15.05,4885,5,0.102,2448,2432,16,0,3912
plSourceToSilverAzureSql,silver_transform_orchestration,low,11.51,1774,4,0.225,888,882,6,0,0
plSourceToSilverRestApi,silver_transform_orchestration,low,10.39,1771,3,0.169,888,880,8,0,0
plUpdateAllWebAppTables,serving_or_application_integration,low,8.5,1677,0,0.0,847,830,17,0,0
plSourceToSilverSoapApi,silver_transform_orchestration,low,8.05,784,1,0.128,396,387,9,0,0
plSourceToGoldHeavyJob,gold_transform_orchestration,low,4.5,1667,0,0.0,838,829,9,0,0
plSourceToSilverCslb,silver_transform_orchestration,low,3.5,771,0,0.0,389,382,7,0,0
plSourceToSilverClue,silver_transform_orchestration,low,3.0,6,0,0.0,6,0,6,0,0
plWebAppUpdatePBIDatasetsFrequenyUpdates,serving_or_application_integration,low,1.5,3,0,0.0,3,0,3,0,0
plFrequentWebAppAndPBIDatasetUpdates,serving_or_application_integration,low,1.0,2,0,0.0,2,0,2,0,0
plUpdateUserMenu,other,low,1.0,1594,0,0.0,798,796,2,0,0
plSourceToSilverVRM,silver_transform_orchestration,low,0.5,147,0,0.0,74,73,1,0,0
plUpdateAllWebAppTables_copy1,serving_or_application_integration,low,0.5,1,0,0.0,1,0,1,0,0
plUpdateWorkspace,serving_or_application_integration,low,0.5,1683,0,0.0,842,841,1,0,0
plMonthlyMaintenance,maintenance,low,0.0,56,0,0.0,28,28,0,0,0
plSourceToBronzeAsqlgng,bronze_ingestion_or_processing,low,0.0,382,0,0.0,191,191,0,0,0
plSourceToBronzeFileSystemWeldOffice,bronze_ingestion_or_processing,low,0.0,30,0,0.0,15,15,0,0,0
plSourceToBronzeGraphQlApiAzureCostManagement,bronze_ingestion_or_processing,low,0.0,218,0,0.0,109,109,0,0,0
plSourceToBronzeGraphQlApiSiteSense,bronze_ingestion_or_processing,low,0.0,186,0,0.0,93,93,0,0,0
plSourceToBronzeRestApiNccer,bronze_ingestion_or_processing,low,0.0,368,0,0.0,184,184,0,0,148
plSourceToBronzeRestApiTradetapp,bronze_ingestion_or_processing,low,0.0,218,0,0.0,109,109,0,0,0
plSourceToBronzeSecureFileSystemVRM,bronze_ingestion_or_processing,low,0.0,302,0,0.0,151,151,0,0,150
plSourceToBronzeSecureFileSystemzipcode,bronze_ingestion_or_processing,low,0.0,52,0,0.0,26,26,0,0,26
plSourceToBronzeSqlConcur,bronze_ingestion_or_processing,low,0.0,382,0,0.0,191,191,0,0,0
plSourceToBronzeTradetappApi,bronze_ingestion_or_processing,low,0.0,318,0,0.0,159,159,0,0,0
plSourceToGoldP6,gold_transform_orchestration,low,0.0,4,0,0.0,2,2,0,0,0
plSourceToGoldWeldOffice,gold_transform_orchestration,low,0.0,30,0,0.0,15,15,0,0,0
plSourceToSilverGraphQl,silver_transform_orchestration,low,0.0,218,0,0.0,109,109,0,0,0
plSourceToSilverSiteSense,silver_transform_orchestration,low,0.0,186,0,0.0,93,93,0,0,0
plSourceToSilverTradetappApi,silver_transform_orchestration,low,0.0,318,0,0.0,159,159,0,0,0
plSourceToSilverZipcodes,silver_transform_orchestration,low,0.0,26,0,0.0,13,13,0,0,0
plUpdateCompany,other,low,0.0,1670,0,0.0,835,835,0,0,0
plUpdateDatasetId,other,low,0.0,1672,0,0.0,836,836,0,0,0
